Designator,Mid X,Mid Y,Layer,Rotation
AE601,176.09,-117.74,T,0.00
AE601,176.09,-27.74,T,0.00
AE602,121.64,-18.44,B,90.00
AE602,121.64,-108.44,B,90.00
BT301,126.40,-165.70,B,270.00
BT301,126.40,-75.70,B,270.00
BZ101,180.85,-158.72,B,0.00
BZ101,180.85,-68.72,B,0.00
C101,158.07,-46.38,B,270.00
C101,158.07,-136.38,B,270.00
C102,149.47,-128.28,B,0.00
C102,149.47,-38.28,B,0.00
C103,158.24,-122.96,B,90.00
C103,158.24,-32.96,B,90.00
C104,164.87,-130.88,B,180.00
C104,164.87,-40.88,B,180.00
C105,159.94,-136.46,B,270.00
C105,159.94,-46.46,B,270.00
C106,149.44,-130.76,B,0.00
C106,149.44,-40.76,B,0.00
C107,151.62,-133.38,B,270.00
C107,151.62,-43.38,B,270.00
C108,152.02,-34.56,B,90.00
C108,152.02,-124.56,B,90.00
C109,155.74,-136.38,B,270.00
C109,155.74,-46.38,B,270.00
C110,164.84,-132.11,B,180.00
C110,164.84,-42.11,B,180.00
C111,157.24,-122.96,B,90.00
C111,157.24,-32.96,B,90.00
C112,163.12,-122.88,B,180.00
C112,163.12,-32.88,B,180.00
C113,161.39,-122.83,B,270.00
C113,161.39,-32.83,B,270.00
C114,163.77,-34.58,B,90.00
C114,163.77,-124.58,B,90.00
C115,163.89,-126.74,B,90.00
C115,163.89,-36.74,B,90.00
C116,164.82,-36.74,B,90.00
C116,164.82,-126.74,B,90.00
C117,147.37,-41.08,B,270.00
C117,147.37,-131.08,B,270.00
C118,147.37,-38.08,B,90.00
C118,147.37,-128.08,B,90.00
C201,110.65,-32.59,B,90.00
C201,110.65,-122.59,B,90.00
C202,119.25,-40.69,B,180.00
C202,119.25,-130.69,B,180.00
C203,110.47,-136.01,B,270.00
C203,110.47,-46.01,B,270.00
C204,103.85,-38.09,B,0.00
C204,103.85,-128.09,B,0.00
C205,108.78,-122.51,B,90.00
C205,108.78,-32.51,B,90.00
C206,119.28,-38.22,B,180.00
C206,119.28,-128.22,B,180.00
C207,117.18,-125.49,B,90.00
C207,117.18,-35.49,B,90.00
C208,115.42,-45.89,B,270.00
C208,115.42,-135.89,B,270.00
C209,112.98,-122.59,B,90.00
C209,112.98,-32.59,B,90.00
C210,103.88,-126.86,B,0.00
C210,103.88,-36.87,B,0.00
C211,111.47,-136.01,B,270.00
C211,111.47,-46.01,B,270.00
C212,105.68,-45.79,B,0.00
C212,105.68,-135.79,B,0.00
C213,107.33,-46.14,B,90.00
C213,107.33,-136.14,B,90.00
C214,105.08,-44.34,B,270.00
C214,105.08,-134.34,B,270.00
C215,104.83,-42.23,B,270.00
C215,104.83,-132.23,B,270.00
C216,103.90,-132.23,B,270.00
C216,103.90,-42.23,B,270.00
C217,121.35,-37.89,B,90.00
C217,121.35,-127.89,B,90.00
C218,121.35,-40.89,B,270.00
C218,121.35,-130.89,B,270.00
C301,183.03,-169.79,B,270.00
C301,183.03,-79.80,B,270.00
C302,173.19,-168.35,B,270.00
C302,173.19,-78.35,B,270.00
C303,175.74,-168.35,B,270.00
C303,175.74,-78.35,B,270.00
C304,177.89,-165.15,B,0.00
C304,177.89,-75.15,B,0.00
C305,180.09,-76.47,B,90.00
C305,180.09,-166.47,B,90.00
C306,174.72,-173.22,B,270.00
C306,174.72,-83.22,B,270.00
C307,171.40,-80.08,B,180.00
C307,171.40,-170.07,B,180.00
C308,176.03,-80.58,B,0.00
C308,176.03,-170.57,B,0.00
C401,132.40,-60.60,B,270.00
C401,132.40,-150.60,B,270.00
C402,138.30,-150.60,B,270.00
C402,138.30,-60.60,B,270.00
C403,126.40,-60.60,B,270.00
C403,126.40,-150.60,B,270.00
C404,120.40,-60.60,B,270.00
C404,120.40,-150.60,B,270.00
C405,90.40,-150.56,B,270.00
C405,90.40,-60.56,B,270.00
C406,96.40,-60.56,B,270.00
C406,96.40,-150.56,B,270.00
C407,102.40,-60.56,B,270.00
C407,102.40,-150.56,B,270.00
C408,108.39,-60.60,B,270.00
C408,108.39,-150.60,B,270.00
C409,114.40,-150.60,B,270.00
C409,114.40,-60.60,B,270.00
C601,177.95,-131.60,B,90.00
C601,177.95,-41.60,B,90.00
C602,177.60,-43.00,B,0.00
C602,177.60,-133.00,B,0.00
C603,177.60,-44.60,B,0.00
C603,177.60,-134.60,B,0.00
C604,177.99,-46.05,B,270.00
C604,177.99,-136.05,B,270.00
C605,185.80,-130.90,B,135.00
C605,185.80,-40.90,B,135.00
C606,185.12,-130.20,B,135.00
C606,185.12,-40.20,B,135.00
C607,179.16,-129.26,B,45.00
C607,179.16,-39.26,B,45.00
C608,178.45,-129.95,B,45.00
C608,178.45,-39.95,B,45.00
C609,179.28,-137.65,B,270.00
C609,179.28,-47.65,B,270.00
C610,175.18,-132.27,B,90.00
C610,175.18,-42.27,B,90.00
C611,175.18,-45.52,B,270.00
C611,175.18,-135.53,B,270.00
C612,181.61,-31.00,B,180.00
C612,181.61,-121.00,B,180.00
C613,185.27,-137.05,B,270.00
C613,185.27,-47.05,B,270.00
C614,184.29,-138.00,B,270.00
C614,184.29,-48.00,B,270.00
C615,181.61,-32.00,B,0.00
C615,181.61,-122.00,B,0.00
C616,180.61,-35.05,B,270.00
C616,180.61,-125.06,B,270.00
C617,180.11,-126.53,B,0.00
C617,180.11,-36.52,B,0.00
C618,181.06,-123.60,B,180.00
C618,181.06,-33.60,B,180.00
C619,179.54,-122.62,B,0.00
C619,179.54,-32.62,B,0.00
C620,185.56,-32.62,B,0.00
C620,185.56,-122.62,B,0.00
C621,185.09,-126.53,B,0.00
C621,185.09,-36.52,B,0.00
C622,184.09,-33.60,B,180.00
C622,184.09,-123.60,B,180.00
C623,184.59,-125.05,B,90.00
C623,184.59,-35.05,B,90.00
C624,183.49,-122.00,B,0.00
C624,183.49,-32.00,B,0.00
C625,183.48,-121.00,B,180.00
C625,183.48,-31.00,B,180.00
C626,110.44,-22.70,B,90.00
C626,110.44,-112.70,B,90.00
C627,110.47,-116.03,B,270.00
C627,110.47,-26.03,B,270.00
C628,117.65,-115.56,B,180.00
C628,117.65,-25.56,B,180.00
C629,118.19,-24.52,B,0.00
C629,118.19,-114.52,B,0.00
D1,8.90,-74.22,T,270.00
D1,8.90,-164.22,T,270.00
D2,10.65,-74.22,T,270.00
D2,10.65,-164.22,T,270.00
D3,12.40,-74.22,T,270.00
D3,12.40,-164.22,T,270.00
D4,14.15,-164.22,T,270.00
D4,14.15,-74.22,T,270.00
D5,15.90,-164.22,T,270.00
D5,15.90,-74.22,T,270.00
D6,17.65,-164.22,T,270.00
D6,17.65,-74.22,T,270.00
D7,19.40,-164.22,T,270.00
D7,19.40,-74.22,T,270.00
D8,21.15,-74.22,T,270.00
D8,21.15,-164.22,T,270.00
D9,22.90,-74.22,T,270.00
D9,22.90,-164.22,T,270.00
D10,24.65,-164.22,T,270.00
D10,24.65,-74.22,T,270.00
D11,26.40,-164.22,T,270.00
D11,26.40,-74.22,T,270.00
D12,28.15,-74.22,T,270.00
D12,28.15,-164.22,T,270.00
D13,29.90,-164.22,T,270.00
D13,29.90,-74.22,T,270.00
D14,31.65,-164.22,T,270.00
D14,31.65,-74.22,T,270.00
D15,33.40,-74.22,T,270.00
D15,33.40,-164.22,T,270.00
D16,35.15,-164.22,T,270.00
D16,35.15,-74.22,T,270.00
D17,36.90,-74.22,T,270.00
D17,36.90,-164.22,T,270.00
D18,38.65,-74.22,T,270.00
D18,38.65,-164.22,T,270.00
D19,40.40,-164.22,T,270.00
D19,40.40,-74.22,T,270.00
D20,42.15,-74.22,T,270.00
D20,42.15,-164.22,T,270.00
D21,43.90,-74.22,T,270.00
D21,43.90,-164.22,T,270.00
D22,45.65,-74.22,T,270.00
D22,45.65,-164.22,T,270.00
D23,47.40,-74.22,T,270.00
D23,47.40,-164.22,T,270.00
D24,49.15,-164.22,T,270.00
D24,49.15,-74.22,T,270.00
D25,50.90,-164.22,T,270.00
D25,50.90,-74.22,T,270.00
D26,52.65,-164.22,T,270.00
D26,52.65,-74.22,T,270.00
D27,54.40,-164.22,T,270.00
D27,54.40,-74.22,T,270.00
D28,56.15,-74.22,T,270.00
D28,56.15,-164.22,T,270.00
D29,57.90,-74.22,T,270.00
D29,57.90,-164.22,T,270.00
D30,59.65,-74.22,T,270.00
D30,59.65,-164.22,T,270.00
D31,61.40,-164.22,T,270.00
D31,61.40,-74.22,T,270.00
D32,63.15,-164.22,T,270.00
D32,63.15,-74.22,T,270.00
D33,8.90,-162.47,T,270.00
D33,8.90,-72.47,T,270.00
D34,10.65,-72.47,T,270.00
D34,10.65,-162.47,T,270.00
D35,12.40,-72.47,T,270.00
D35,12.40,-162.47,T,270.00
D36,14.15,-162.47,T,270.00
D36,14.15,-72.47,T,270.00
D37,15.90,-72.47,T,270.00
D37,15.90,-162.47,T,270.00
D38,17.65,-162.47,T,270.00
D38,17.65,-72.47,T,270.00
D39,19.40,-162.47,T,270.00
D39,19.40,-72.47,T,270.00
D40,21.15,-72.47,T,270.00
D40,21.15,-162.47,T,270.00
D41,22.90,-72.47,T,270.00
D41,22.90,-162.47,T,270.00
D42,24.65,-162.47,T,270.00
D42,24.65,-72.47,T,270.00
D43,26.40,-162.47,T,270.00
D43,26.40,-72.47,T,270.00
D44,28.15,-72.47,T,270.00
D44,28.15,-162.47,T,270.00
D45,29.90,-162.47,T,270.00
D45,29.90,-72.47,T,270.00
D46,31.65,-162.47,T,270.00
D46,31.65,-72.47,T,270.00
D47,33.40,-72.47,T,270.00
D47,33.40,-162.47,T,270.00
D48,35.15,-72.47,T,270.00
D48,35.15,-162.47,T,270.00
D49,36.90,-72.47,T,270.00
D49,36.90,-162.47,T,270.00
D50,38.65,-72.47,T,270.00
D50,38.65,-162.47,T,270.00
D51,40.40,-162.47,T,270.00
D51,40.40,-72.47,T,270.00
D52,42.15,-72.47,T,270.00
D52,42.15,-162.47,T,270.00
D53,43.90,-162.47,T,270.00
