Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BH-18650-B6AA002,148.450000,-167.600000,-90.000000,top
C1,15p,C_0402_1005Metric,105.700000,-151.000000,180.000000,top
C2,15p,C_0402_1005Metric,108.700000,-151.000000,0.000000,top
C4,4.7u,C_0402_1005Metric,110.041779,-134.475000,0.000000,top
C5,4.7u,C_0402_1005Metric,110.036779,-133.550000,0.000000,top
C6,100n,C_0402_1005Metric,99.350000,-140.300000,180.000000,top
C7,4.7u,C_0402_1005Metric,112.550000,-134.020000,-90.000000,top
C8,4.7u,C_0402_1005Metric,108.500000,-148.900000,-90.000000,top
C9,100n,C_0402_1005Metric,116.450000,-140.550000,0.000000,top
C10,100n,C_0402_1005Metric,105.900000,-133.500000,90.000000,top
C11,100n,C_0402_1005Metric,114.320000,-137.100000,180.000000,top
C12,100n,C_0402_1005Metric,99.350000,-138.200000,180.000000,top
C13,100n,C_0402_1005Metric,106.025000,-148.925000,-90.000000,top
C14,100n,C_0402_1005Metric,103.350000,-147.450000,180.000000,top
C15,100n,C_0402_1005Metric,114.825000,-145.050000,0.000000,top
C16,100n,C_0402_1005Metric,99.350000,-142.500000,180.000000,top
C17,100n,C_0402_1005Metric,104.675000,-133.525000,90.000000,top
C18,100n,C_0402_1005Metric,115.700000,-141.475000,0.000000,top
C19,1u,C_0402_1005Metric,117.290000,-119.700000,-135.000000,top
C20,47n,C_0603_1608Metric,121.600000,-117.150000,0.000000,top
C21,10u,C_0402_1005Metric,123.800000,-125.150000,-90.000000,top
C22,4.7u,C_0402_1005Metric,119.600000,-117.250000,90.000000,top
C23,10u,C_0402_1005Metric,124.700000,-121.720000,-90.000000,top
C24,10u,C_0402_1005Metric,127.650000,-121.680000,-90.000000,top
C25,10u,C_0402_1005Metric,146.910000,-119.580000,90.000000,top
C26,10u,C_0402_1005Metric,155.700000,-114.700000,90.000000,top
C27,100u,CP_Elec_5x5.4,91.170000,-206.400000,-90.000000,top
C35,10u,C_0402_1005Metric,124.040000,-129.710000,0.000000,top
C36,10u,C_0402_1005Metric,126.000000,-136.425000,-90.000000,top
C37,100p,C_0402_1005Metric,124.030000,-130.800000,0.000000,top
C38,100n,C_0402_1005Metric,124.275000,-137.300000,180.000000,top
C39,100n,C_0402_1005Metric,114.300000,-136.150000,0.000000,top
D1,LED,LED_0603_1608Metric,121.450000,-111.550000,90.000000,top
D2,LED,LED_0603_1608Metric,118.700000,-111.550000,90.000000,top
D3,LED,LED_0603_1608Metric,117.450000,-126.700000,0.000000,top
D4,LED_RABG,NH-B1212RGBA-HF,97.510000,-186.650000,0.000000,top
D5,LED_RABG,NH-B1212RGBA-HF,99.710000,-186.650000,0.000000,top
D6,LED_RABG,NH-B1212RGBA-HF,101.910000,-186.650000,0.000000,top
D7,LED_RABG,NH-B1212RGBA-HF,104.110000,-186.650000,0.000000,top
D8,LED_RABG,NH-B1212RGBA-HF,97.510000,-188.850000,0.000000,top
D9,LED_RABG,NH-B1212RGBA-HF,99.710000,-188.850000,0.000000,top
D10,LED_RABG,NH-B1212RGBA-HF,101.910000,-188.850000,0.000000,top
D11,LED_RABG,NH-B1212RGBA-HF,104.110000,-188.850000,0.000000,top
D12,LED_RABG,NH-B1212RGBA-HF,97.510000,-191.050000,0.000000,top
D13,LED_RABG,NH-B1212RGBA-HF,99.710000,-191.050000,0.000000,top
D14,LED_RABG,NH-B1212RGBA-HF,101.910000,-191.050000,0.000000,top
D15,LED_RABG,NH-B1212RGBA-HF,104.110000,-191.050000,0.000000,top
D16,LED_RABG,NH-B1212RGBA-HF,97.510000,-193.250000,0.000000,top
D17,LED_RABG,NH-B1212RGBA-HF,99.710000,-193.250000,0.000000,top
D18,LED_RABG,NH-B1212RGBA-HF,101.910000,-193.250000,0.000000,top
D19,LED_RABG,NH-B1212RGBA-HF,104.110000,-193.250000,0.000000,top
J3,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,110.260000,-112.650000,180.000000,top
J5,DEBUG,PinHeader_1x03_P2.54mm_Vertical,112.845000,-151.295000,0.000000,top
JP1,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,93.810000,-162.600000,-90.000000,top
JP2,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,95.210000,-166.300000,-90.000000,top
JP3,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,96.350000,-162.600000,-90.000000,top
JP4,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,98.770000,-166.250000,-90.000000,top
JP5,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,99.910000,-162.550000,-90.000000,top
JP6,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,101.310000,-166.250000,-90.000000,top
JP7,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,102.450000,-162.550000,-90.000000,top
JP8,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,103.850000,-166.250000,-90.000000,top
JP9,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,104.990000,-162.550000,-90.000000,top
JP10,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,107.216081,-166.270810,-90.000000,top
JP11,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,108.356081,-162.570810,-90.000000,top
JP12,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,109.756081,-166.270810,-90.000000,top
JP13,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,110.896081,-162.570810,-90.000000,top
JP14,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,112.980000,-166.300000,-90.000000,top
JP15,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,114.120000,-162.600000,-90.000000,top
JP16,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,115.520000,-166.300000,-90.000000,top
JP17,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,116.660000,-162.600000,-90.000000,top
JP18,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,118.910000,-166.300000,-90.000000,top
JP19,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,120.050000,-162.600000,-90.000000,top
JP20,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,121.450000,-166.300000,-90.000000,top
JP21,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,122.590000,-162.600000,-90.000000,top
L1,3.3u,AOTA-B201610S3R3-101-T,110.200000,-131.900000,0.000000,top
L2,2u2,L_0603_1608Metric,126.290000,-121.240000,-90.000000,top
MK1,LMA2718T421-OA5-2,LMA2718T421-OA5-2,121.275000,-130.725000,-90.000000,top
Q1,SS8550 Y2 200-350,Q_SOT-23,141.650000,-114.500000,90.000000,top
Q2,2N7002,Q_SOT-23,138.162500,-117.600000,-90.000000,top
Q3,SS8550 Y2 200-350,Q_SOT-23,96.620000,-197.560000,90.000000,top
Q4,SS8550 Y2 200-350,Q_SOT-23,101.245000,-197.560000,90.000000,top
Q5,SS8550 Y2 200-350,Q_SOT-23,105.870000,-197.560000,90.000000,top
Q6,SS8550 Y2 200-350,Q_SOT-23,110.495000,-197.560000,90.000000,top
Q7,XYC-PT0805BC-L4-D,D_0805,121.150000,-141.250000,180.000000,top
R1,0,R_0603,116.850000,-136.400000,-90.000000,top
R3,1k,R_0402_1005Metric,107.150000,-148.900000,-90.000000,top
R4,1k,R_0402_1005Metric,116.800000,-150.400000,-90.000000,top
R5,33,R_0402_1005Metric,112.550000,-132.125000,-90.000000,top
R6,1k,R_0402_1005Metric,104.300000,-126.500000,0.000000,top
R7,27,R_0402_1005Metric,106.950000,-133.500000,-90.000000,top
R8,27,R_0402_1005Metric,107.950000,-133.500000,-90.000000,top
R9,330,R_0402_1005Metric,121.450000,-114.350000,90.000000,top
R10,2.2k,R_0402_1005Metric,118.700000,-114.250000,90.000000,top
R11,5.1k,R_0402_1005Metric,107.550000,-118.650000,-135.000000,top
R12,5.1k,R_0402_1005Metric,111.950000,-118.800000,-90.000000,top
R13,2.2k,R_0402_1005Metric,116.950000,-122.900000,-135.000000,top
R14,100m,R_1206_3216Metric,113.800000,-119.850000,-90.000000,top
R15,10k,R_0402_1005Metric,119.500000,-126.150000,90.000000,top
R16,10k,R_0402_1005Metric,120.550000,-126.150000,-90.000000,top
R17,10k,R_0402_1005Metric,121.910000,-128.200000,0.000000,top
R18,220,R_0402_1005Metric,121.550000,-126.150000,-90.000000,top
R19,5k1,R_0402_1005Metric,118.110000,-128.200000,0.000000,top
R20,1k5,R_0402_1005Metric,120.010000,-128.200000,0.000000,top
R21,10k,R_0402_1005Metric,137.950000,-114.100000,180.000000,top
R22,10k,R_0402_1005Metric,140.650000,-118.150000,-90.000000,top
R23,10k,R_0402_1005Metric,81.260000,-197.050000,180.000000,top
R24,220,R_0402_1005Metric,96.220000,-200.000000,180.000000,top
R25,10,R_0402_1005Metric,87.420000,-204.800000,90.000000,top
R26,220,R_0402_1005Metric,100.820000,-199.950000,180.000000,top
R27,220,R_0402_1005Metric,105.470000,-199.950000,180.000000,top
R28,220,R_0402_1005Metric,110.020000,-199.950000,180.000000,top
R29,130,R_0402_1005Metric,89.600000,-180.935000,90.000000,top
R30,130,R_0402_1005Metric,90.900000,-180.925000,90.000000,top
R31,82,R_0402_1005Metric,112.400000,-180.975000,90.000000,top
R32,130,R_0402_1005Metric,92.125000,-180.925000,90.000000,top
R33,360,R_0402_1005Metric,101.075000,-180.850000,90.000000,top
R34,82,R_0402_1005Metric,113.475000,-180.990000,90.000000,top
R35,130,R_0402_1005Metric,93.450000,-180.950000,90.000000,top
R36,360,R_0402_1005Metric,102.225000,-180.850000,90.000000,top
R37,82,R_0402_1005Metric,114.800000,-181.000000,90.000000,top
R38,360,R_0402_1005Metric,103.425000,-180.850000,90.000000,top
R39,82,R_0402_1005Metric,116.075000,-181.025000,90.000000,top
R40,360,R_0402_1005Metric,104.575000,-180.850000,90.000000,top
R41,2k,R_0402_1005Metric,125.725000,-130.875000,90.000000,top
R42,10k,R_0402_1005Metric,118.775000,-141.200000,90.000000,top
R43,10k,R_0402_1005Metric,127.150000,-136.150000,90.000000,top
R44,10k,R_0402_1005Metric,124.300000,-136.275000,180.000000,top
R45,100k,R_0402_1005Metric,124.050000,-131.825000,0.000000,top
R46,100,R_0402_1005Metric,121.375000,-134.350000,90.000000,top
SW1,SW_Push,B3U-1100PM,104.162500,-129.400000,-90.000000,top
SW2,SW_Push,B3U-1100PM,115.050000,-148.112500,180.000000,top
SW3,BAT_SYS_PWR HY-DSIC02LS,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm,137.850000,-123.500000,0.000000,top
TP8,DISPLAY_SENSE+,TestPoint_Pad_D1.5mm,82.020000,-203.200000,90.000000,top
TP9,DISPLAY_SENSE-,TestPoint_Pad_D1.5mm,85.570000,-203.200000,90.000000,top
TP10,MIC_RAW,TestPoint_Pad_D1.5mm,126.275000,-128.375000,0.000000,top
TP11,MIC_OUT,TestPoint_Pad_D1.5mm,120.900000,-136.900000,0.000000,top
U2,RP2354_80QFN,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,107.050000,-140.550000,0.000000,top
U3,BQ24195LRGER,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,120.812500,-122.250000,0.000000,top
U4,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,152.450000,-119.650000,0.000000,top
U6,74HC138,JEITA_SOIC-16_3.9x9.9mm_P1.27mm,74.957500,-196.385000,180.000000,top
U10,74HC595D,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,95.300000,-175.360000,0.000000,top
U12,74HC595D,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,106.660000,-175.550000,0.000000,top
U14,74HC595D,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,117.980000,-175.560000,0.000000,top
U22,LMV321IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,124.050000,-134.000000,0.000000,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,107.050000,-154.600000,0.000000,top
